Language,Taxon,Glottocode,Family,Clade,Classification,Latitude,Longitude
abaga,abaga_sil-1966,abag1245,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/nucl1756/kama1374/unun9976,-6.12028,145.665
aeka,aeka_w69,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aeka,aeka_sm2011,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aeka,aeka_mv70,aeka1244,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,-8.855095,147.99477
aghu,aghu_h70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v75,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_mv70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v70,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aghu,aghu_v00,aghu1255,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.34674,140.043
aisi,aisi_d2016,musa1266,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/east2767/aisi1234,-5.37407,145.197
aisi,aisi_d2010,musa1266,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/east2767/aisi1234,-5.37407,145.197
alekano,alekano_s56,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_s78,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano,alekano_sil-1965d,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-asaroyufa,alekano-asaroyufa_sil-1975h,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-kefamo,alekano-kefamo_sil-1975g,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-kotuni,alekano-kotuni_sil-1975f,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-notofana,alekano-notofana_sil-1976b,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-wanima,alekano-wanima_sil-1975e,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
alekano-wanima,alekano-wanima_sil-1962b,alek1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-6.03901,145.387
amaimon,amaimon_z80n,amai1246,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234,-5.18742,145.368
amele,amele_z80m,amel1241,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/mabu1247/gumm1240,-5.29126,145.687
amowe-bere,amowe-bere_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
amowe-gomu,amowe-gomu_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
amowe-tagoe,amowe-tagoe_l2008,dudu1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/nuru1240,-5.43119,145.642
anam,anam_z80s,anam1247,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272,-4.68869,145.051
anamgura,anamgura_z80s,anam1248,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/osum1243/pomo1272/anam1250,-4.63762,144.991
anjam,anjam_z80r,anja1238,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332,-5.45899,145.717
apali,apali_d2010,apal1256,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258,-5.1727,145.023
apali,apali_z80s,apal1256,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258,-5.1727,145.023
arandai-sebyar,arandai-sebyar_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arandai-weriagar,arandai-weriagar_v85,aran1237,South Bird's Head Family,South Bird's Head Family,sout1516/east1439/kemb1251,-2.08016,132.983
arawum,arawum_z80r,araw1272,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/kabe1245,-5.52787,145.903
asas,asas_z80r,asas1240,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/evap1240/sins1241,-5.69345,145.549
asmat-casuarina-coast-pirimapun,asmat-casuarina-coast-pirimapun_v80,casu1237,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-6.43005,138.566
asmat-central-keenakap-namen,asmat-central-keenakap-namen_v80,cent2117,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247,-5.80391,138.471
asmat-central-keenok-komar,asmat-central-keenok-komar_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-keenok-sawa-erma,asmat-central-keenok-sawa-erma_v80,nort2917,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257,-4.89854,138.405
asmat-central-mismam-suru,asmat-central-mismam-suru_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-mismam-yepem,asmat-central-mismam-yepem_v80,mism1239,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
asmat-central-simai-ayam,asmat-central-simai-ayam_v80,ajam1240,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cent2247/cent2117,,
atemble,atemble_z80s,atem1241,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241,-5.08137,144.806
atemble,atemble_d2010,atem1241,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/apal1258/grea1297/atan1241,-5.08137,144.806
awa,awa_x90,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awa,awa_s78,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awa,awa_sil-1976,awap1236,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/awao1234,-6.65534,145.714
awiyaana,awiyaana_s78,awiy1238,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/auya1234,-6.54079,145.76
awyu-asue,awyu-asue_h70,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-asue,awyu-asue_mv70,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-asue,awyu-asue_v75,asue1235,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-5.98341,139.123
awyu-central-busiri,awyu-central-busiri_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-ketah,awyu-central-ketah_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-nohon,awyu-central-nohon_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-central-taim,awyu-central-taim_kl2010,cent2118,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264/mapp1234,-6.29363,139.693
awyu-south,awyu-south_mv70,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_v75,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_v00,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_h70,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
awyu-south,awyu-south_v71,sout2941,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/grea1275/awyu1263/awyu1264,-7.36301,139.538
bagupi,bagupi_z80m,bagu1252,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/mabu1247/hans1243/silo1242,-5.07778,145.632
baimak,baimak_z80m,baim1245,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/mabu1247/hans1243/garu1247,-5.18943,145.606
bamu,bamu_s86,bamu1257,Kiwaian,Kiwaian,kiwa1251,-7.93818,143.545
bamu,bamu_w73,bamu1257,Kiwaian,Kiwaian,kiwa1251,-7.93818,143.545
bargam,bargam_z80n,barg1252,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234,-4.8723,145.756
baruga-bareji,baruga-bareji_sm2011,bare1274,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/baru1268/baru1269,,
baruga-bareji,baruga-bareji_mv70,bare1274,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/baru1268/baru1269,,
baruga-tafota,baruga-tafota_sm2011,tafo1238,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/baru1268/baru1269,,
bau,bau_z80m,bauu1244,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/mabu1247/gumm1240/pani1263,-5.26465,145.611
bauwaki,bauwaki_sil-1973,bauw1240,Mailuan,Mailuan,mail1249/bauw1241,-9.82577,148.815
beami,beami_s86,beam1240,Bosavi,Bosavi,bosa1245/etor1234,-6.14949,142.508
beami,beami_mv70,beam1240,Bosavi,Bosavi,bosa1245/etor1234,-6.14949,142.508
benabena,benabena_s78,bena1264,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/nucl1756,-6.09974,145.534
bepour,bepour_z80n,bepo1240,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/grea1298/nort3379/kumi1250/kumi1249,-4.5985,145.442
bilakura,bilakura_z80n,bila1257,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/grea1298/nort3379/numu1240/kari1319,-4.93116,145.559
bimin-fagobiw,bimin-fagobiw_vcs2010,bimi1240,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253,-5.38732,142.04
bimin-sengen,bimin-sengen_vcs2010,bimi1240,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253,-5.38732,142.04
binahari,binahari_sil-1985,bina1275,Mailuan,Mailuan,mail1249/bina1273,-10.0874,148.835
binandere,binandere_mv70,bina1278,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/bina1277,,
binandere,binandere_sm2011,bina1278,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/bina1277,,
binandere,binandere_w69,bina1278,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/bina1277,,
biyom,biyom_z80s,biyo1244,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/unun9972,-5.79929,145.348
bogaya,bogaya_s73,boga1247,Bogaya,Bogaya,Bogaya,-5.54487,142.255
bogaya,bogaya_s86,boga1247,Bogaya,Bogaya,Bogaya,-5.54487,142.255
bongu,bongu_z80r,bong1291,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332,-5.50519,145.806
bongu,bongu_mm1871,bong1291,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/mind1258/lowe1462/coas1332,-5.50519,145.806
borong,borong_mv70,boro1279,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246,-6.56688,147.511
borong,borong_m67,boro1279,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246,-6.56688,147.511
brem,brem_z80n,brem1238,Nuclear Trans New Guinea,TNG.Madang.Croiselles,nucl1709/mada1298/croi1234/grea1298/nort3379/mane1269,-4.67372,145.562
burum,burum_mv70,buru1306,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246,-6.51663,147.333
burum,burum_m67,buru1306,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245/koso1246,-6.51663,147.333
citak-citak-senggo,citak-citak-senggo_v80,seng1282,Nuclear Trans New Guinea,TNG.Asmat,nucl1709/cent2116/asma1256/asma1257/cita1246/cita1245,,
daga,daga_sil-1965c,daga1275,Dagan,Dagan,daga1274/cent2401/sout3381,-9.9747,149.263
danaru,danaru_z80r,dana1254,Nuclear Trans New Guinea,TNG.Madang.RaiCoast,nucl1709/mada1298/raic1241/peka1243/urig1241,-5.53634,145.457
dani-lower-grand-valley-tangma,dani-lower-grand-valley-tangma_b67,lowe1415,Nuclear Trans New Guinea,TNG.Dani,nucl1709/dani1287/cent2233/gran1246/sout3374,-4.25684,138.992
dani-western,dani-western_v75,west2594,Nuclear Trans New Guinea,TNG.Dani,nucl1709/dani1287/cent2233,-3.77127,138.217
dani-western,dani-western_c97,west2594,Nuclear Trans New Guinea,TNG.Dani,nucl1709/dani1287/cent2233,-3.77127,138.217
dano-asaro,dano-asaro_sil-1974,dano1240,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-5.92188,145.254
dano-asaro,dano-asaro_s78,dano1240,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/gahu1246,-5.92188,145.254
dedua,dedua_mv70,dedu1240,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245,-6.38206,147.627
dedua,dedua_m67,dedu1240,Nuclear Trans New Guinea,TNG.FH.Huon,nucl1709/fini1244/huon1246/west2795/rawl1234/pind1245,-6.38206,147.627
dima,dima_sil-1973c,dima1252,Dagan,Dagan,daga1274/cent2401,-9.70322,149.605
doromu-aramaika,doromu-aramaika_d70,doro1266,Manubaran,Manubaran,manu1261,-9.56687,147.986
doromu-bareika,doromu-bareika_d70,doro1266,Manubaran,Manubaran,manu1261,-9.56687,147.986
doromu-lofaika,doromu-lofaika_d70,doro1266,Manubaran,Manubaran,manu1261,-9.56687,147.986
duna,duna_mv70,duna1248,Duna,Duna,Duna,-5.41439,142.475
duna,duna_s73,duna1248,Duna,Duna,Duna,-5.41439,142.475
duna,duna_s86,duna1248,Duna,Duna,Duna,-5.41439,142.475
enga,enga_f75,enga1252,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251,-5.45619,143.685
enga,enga_la73,enga1252,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251,-5.45619,143.685
enga-laiagam,enga-laiagam_dc85,laia1242,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251/enga1252,,
enga-lapalama,enga-lapalama_dc85,lapa1247,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251/enga1252,,
enga-sari,enga-sari_dc85,sari1248,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251/enga1252,,
enga-wapi,enga-wapi_dc85,enga1252,Nuclear Trans New Guinea,TNG.Enga-Kewa-Huli,nucl1709/enga1254/enga1251,-5.45619,143.685
ewage-notu,ewage-notu_mv70,ewag1241,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297,-8.68756,148.405
ewage-notu,ewage-notu_sm2011,ewag1241,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297,-8.68756,148.405
ewage-notu,ewage-notu_w69,ewag1241,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297,-8.68756,148.405
faita,faita_z80s,fait1240,Nuclear Trans New Guinea,TNG.Madang.Kalamic-SouthAdelbert,nucl1709/mada1298/kala1403/sout3148/soge1235/east2767,-5.59947,145.298
faiwol-dimtikin,faiwol-dimtikin_vcs2010,faiw1243,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253,-5.4967,141.656
faiwol-lowbip,faiwol-lowbip_vcs2010,faiw1243,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253,-5.4967,141.656
faiwol-selbang,faiwol-selbang_vcs2010,faiw1243,Nuclear Trans New Guinea,TNG.Awyu-Ok,nucl1709/cent2116/awyu1265/okok1235/okkk1242/moun1253,-5.4967,141.656
fembe,fembe_s73,femb1238,East Strickland,East Strickland,east2433,-5.71596,142.254
fembe,fembe_s86,femb1238,East Strickland,East Strickland,east2433,-5.71596,142.254
fore,fore_s78,fore1270,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/goro1272/nucl1760/fore1273,-6.64473,145.5065
fuyug,fuyug_sil-1975d,fuyu1242,Fuyug,Fuyug,Fuyug,-8.6371,147.312
fuyug,fuyug_sil-1973,fuyu1242,Fuyug,Fuyug,Fuyug,-8.6371,147.312
gadsup,gadsup_s78,gads1258,Nuclear Trans New Guinea,TNG.Kainantu-Goroka,nucl1709/kain1273/kain1274/gauw1235/gads1260,-6.31631,145.997
gaina,gaina_sm2011,gain1243,Nuclear Trans New Guinea,TNG.GreaterBinanderean,nucl1709/bina1276/bina1279/nucl1603/sout2934/coas1297/gaen1235,-9.14409,148.59
