Concept,Count,Swadesh
948_WATER,1147,Swadesh200
189_HAIR_BODY,1120,
1248_EYE,1110,Swadesh200
221_FIRE,1104,Swadesh200
1256_HEAD,1092,Swadesh200
1343_SUN,1086,Swadesh200
763_SKIN,1077,Swadesh200
1394_BONE,1056,Swadesh200
2009_DOG,1030,Swadesh200
1380_TOOTH,1024,Swadesh200
646_ASH,1016,Swadesh200
1554_MAN,1016,Swadesh200
857_STONE,999,Swadesh200
937_BIRD,998,Swadesh200
1336_EAT,991,Swadesh200
906_TREE,978,Swadesh200
1392_LOUSE,977,Swadesh200
1247_EAR,946,Swadesh200
1498_TWO,926,Swadesh200
1221_NOSE,923,Swadesh200
744_EGG,915,Swadesh200
1493_ONE,913,Swadesh200
1402_BREAST,907,Swadesh200
946_BLOOD,904,Swadesh200
1405_NAME,897,Swadesh200
1205_TONGUE,894,Swadesh200
1035_GOOD,892,Swadesh200
1220_TAIL,891,Swadesh200
1430_STAR,887,Swadesh200
1209_I,864,Swadesh200
778_SMOKE_EXHAUST,860,Swadesh200
1233_NIGHT,853,Swadesh200
1446_COME,836,Swadesh200
962_WOMAN,827,Swadesh200
1566_blackcreature,825,
1416_SIT,819,Swadesh200
1216_MOTHER,817,Swadesh200
1409_SEE,805,Swadesh200
1585_SLEEP,801,Swadesh200
674_MOUTH,791,Swadesh200
1313_MOON,783,Swadesh200
1297_LEG,769,
1337_PIG,759,
1447_GIVE,758,Swadesh200
1442_STAND,752,Swadesh200
1231_NEW,747,Swadesh200
1371_KNEE,745,Swadesh200
2108_RAINING_OR_RAIN,728,
1202_BIG,724,Swadesh200
1203_LONG,724,Swadesh200
1246_SMALL,710,Swadesh200
1333_NECK,706,Swadesh200
1217_FATHER,704,Swadesh200
671_SAND,702,Swadesh200
1489_CLOUD,697,Swadesh200
628_LEAF,687,Swadesh200
1335_WHITE,680,Swadesh200
156_RED,674,Swadesh200
1251_BELLY,669,Swadesh200
670_ROOT,669,Swadesh200
1673_ARM,669,
1287_COLD,660,Swadesh200
960_WIND,658,Swadesh200
639_MOUNTAIN,650,Swadesh200
2312_YOU_OBLIQUE_CASE_OF_YOU,647,
725_OLD_PERSON,621,
323_FAT_ORGANIC_SUBSTANCE,613,
2304_THEE_OBLIQUE_CASE_OF_YOU,604,
2193_meatgame,603,
1212_WE,597,
730_SNAKE,593,Swadesh200
1786_DRY_UP,591,
2638_FISHING,589,
1252_HOUSE,578,
1257_WING,566,Swadesh200
2159_GROUND,563,
1429_FULL,560,Swadesh200
1408_HEAR,544,Swadesh200
868_BANANA,539,
1403_BITE,528,Swadesh200
1235_WHO,527,Swadesh200
2255_hesheitthatthose,525,
1236_WHAT,516,Swadesh200
1494_DIE,509,Swadesh200
2457_PATH_OR_ROAD,508,Swadesh200
2102_BURN,504,Swadesh200
1198_MANY,503,Swadesh200
2506_thislohap,498,
1482_SHOULDER,498,
867_backofhand,481,
351_TARO,476,
1258_FINGERNAIL,475,
1223_HEART,470,Swadesh200
98_ALL,462,Swadesh200
1443_WALK,462,Swadesh200
2256_badworthless,461,
2502_thatdistant,458,
1424_YELLOW,457,Swadesh200
2095_arrowbarredarrowwithcrossbar,456,
466_CASSOWARY,452,
1441_FLY_MOVE_THROUGH_AIR,447,Swadesh200
1224_LIVER,443,Swadesh200
2215_shortpeople,432,
1215_THOU,414,Swadesh200
1417_KILL,407,Swadesh200
1425_GREEN,398,Swadesh200
1210_HEAVY,397,Swadesh200
1269_NO,394,
2509_yamtaitu,391,
2272_HOT_OR_WARM,387,Swadesh200
695_GO,383,
1726_WET,377,Swadesh200
1490_RAT,373,
981_ELBOW,373,
492_THREE,366,Swadesh200
1509_MOSQUITO,366,
146_SUGAR_CANE,365,
503_FROG,350,
817_THEY,349,Swadesh200
1286_HOT,347,
159_SWEET_POTATO,346,
2499_childm,344,
714_SEED,341,Swadesh200
970_COCONUT,338,
1277_HAND,329,
1917_TIE,327,Swadesh200
1401_DRINK,326,Swadesh200
1366_BOY,325,
1240_NOT,322,Swadesh200
235_FLYING_FOX,317,
1355_LAUGH,315,Swadesh200
2510_tofallfromstanding,312,
1172_SHOOT,312,
1352_KNIFE,309,
1295_STICK,309,Swadesh200
1201_FEATHER,308,Swadesh200
586_GARDEN,307,
1174_YESTERDAY,303,
1507_FRUIT,302,
1339_MORNING,301,
1839_CRY,297,
1646_GIRL,296,
1329_TOMORROW,294,
1228_EARTH_SOIL,290,Swadesh200
1237_WHERE,288,Swadesh200
2252_PATH,287,
1204_BARK,285,Swadesh200
2708_TALK,283,
1433_HIT,281,Swadesh200
1857_CROCODILE,279,
72_CLAW,276,Swadesh200
215_LIE_DOWN,275,Swadesh200
683_PERSON,275,Swadesh200
165_WALLABY,275,
1504_FLY_INSECT,275,
2270_SAGO,274,
700_CARRY,274,
1410_KNOW_SOMETHING,272,Swadesh200
879_COUGH,270,
1439_SWIM,269,Swadesh200
1142_URINE,269,
1510_CHIN,263,
1781_THUMB,263,
2495_axetomahawk,261,
293_NETBAG,260,
1268_YES,260,
1519_RUN,259,
217_BETELNUT,258,
1404_STRAIGHT,257,Swadesh200
908_DRUM,256,
1458_SAY,256,Swadesh200
1500_FOUR,256,Swadesh200
175_BLOW_OF_WIND,247,Swadesh200
343_VINE,246,
1838_NAVEL,243,
1732_SKY,243,Swadesh200
945_SPEAR,238,
1432_CUT,236,Swadesh200
1807_AFTERNOON,235,
1262_BROTHER,234,
2098_FOOT_OR_LEG,234,
1418_DIG,234,Swadesh200
675_FAECES_EXCREMENT,233,
1927_BAMBOO,229,
1503_SALIVA,229,
1592_CHEST,229,
974_TOBACCO,224,
1453_WASH,224,
1690_FENCE,220,
493_FIVE,219,Swadesh200
1395_ROUND,218,Swadesh200
1278_VOMIT,218,Swadesh200
2092_HIS_OR_HER,218,
1263_SISTER,216,
1623_SPEAK,216,
982_LIME_FRUIT,216,
1419_FEAR_BE_AFRAID,213,Swadesh200
420_FOREST,213,
930_VILLAGE,212,
1406_FAR,212,Swadesh200
1942_NEAR,206,Swadesh200
123_FOREHEAD,205,
834_BUTTOCKS,204,
1448_HOLD,202,Swadesh200
1629_faceforehead,200,
1222_PENIS,199,
994_BOW,198,
1274_SALT,198,Swadesh200
1920_DREAM_SOMETHING,197,
2090_MY,195,
2378_THUNDER_VERB,194,
1456_THROW,194,Swadesh200
1238_WHEN,192,Swadesh200
1396_SHARP,192,Swadesh200
1301_FOOT,190,
1218_ROPE,189,Swadesh200
2507_therelohap,188,
2092_chickenwild,188,
680_BREAK_DESTROY_OR_GET_DESTROYED,188,
832_BEAN,186,
1791_BUTTERFLY,184,
1654_LIGHTNING,184,
732_YOUR_SINGULAR,183,
1847_SICK,182,
1455_PULL,182,Swadesh200
1606_INSIDE,181,Swadesh200
1346_THROAT,180,
800_THIGH,180,
1879_DANCE,178,
2089_ourtwopronounp1pdual,178,
1515_TEN,176,
1759_OLDER_BROTHER,176,
1436_SCRATCH,176,Swadesh200
1533_BE_HUNGRY,174,
1437_SPLIT,174,Swadesh200
2500_pandanusedible,170,
1553_MALE,170,
249_FOG,169,Swadesh200
1474_SEA,167,Swadesh200
1588_TURN,167,Swadesh200
138_BATHE,166,
1586_SMELL_PERCEIVE,166,Swadesh200
805_tocallout,166,
1393_HORN_ANATOMY,165,Swadesh200
1749_TAKE,163,
3037_SAME-SEX_OLDER_SIBLING,163,
1717_toputgive,163,
51_SORE,162,
1334_GUTS,162,Swadesh200
1347_NAPE_OF_NECK,160,
1886_ARMPIT,159,
1423_FIGHT,159,Swadesh200
136_HERE,158,Swadesh200
2105_FEMALE_PERSON,158,
1452_PUSH,158,Swadesh200
1573_SWELL,157,Swadesh200
1965_LOINCLOTH,156,
776_TRUNK_OF_TREE,156,
630_LIGHT_RADIATION,155,
2163_dirtywater,154,
792_BOIL_OF_LIQUID,154,
1924_VEIN,153,
1253_RAIN_RAINING,152,Swadesh200
2014_GO_DOWN_DESCEND,152,
297_CROOKED,151,
1758_OLDER_SISTER,151,
1901_SHOVEL,150,
155_CHOP,148,
2075_possessivemarker,148,
406_OLD_MAN,147,
178_RIPE,147,
3039_DIFFERENT-SEX_OLDER_SIBLING,146,
2274_YOUR_PLURAL,146,
2087_axeiron,143,
1989_CALF,143,
3038_SAME-SEX_YOUNGER_SIBLING,143,
1303_FINGER,142,
1905_theydualpronound3pdual,142,
798_JAW,141,
705_GO_UP_ASCEND,141,
463_FELL_A_TREE,141,
2086_thempronouno3pdual,141,
2006_FILL,138,
1970_CANOE,138,
345_SAP,138,
1829_JUMP,138,
1199_WIFE,136,Swadesh200
907_OLD_WOMAN,135,
666_RIVER,135,Swadesh200
1819_LOOK,135,
2090_theirpronounp3pdual,134,
301_stringbag,133,
2636_WE_TWO_EXCLUSIVE,133,
1579_BE,133,
241_TREE_STUMP,132,
1667_HOLE,131,
2121_ARM_OR_HAND,131,
2068_himheritpronouno3s,131,
2275_SHADOW,128,
1980_treetop,128,
1487_POUR,128,
843_tobuysellbarter,128,
269_COOKED,127,
1486_PLANT_SOMETHING,127,
1651_TEAR_OF_EYE,126,
1289_BABY,124,
2093_AFTERWARDS,123,
1837_VULVA,123,
897_SWALLOW,123,
1600_SKIRT,122,
1475_COMB,122,
1415_THINK_REFLECT,122,Swadesh200
113_SHORE,121,
1969_shortpieceofwood,121,
1962_ROAST_SOMETHING,121,
478_LIP,119,
2119_BOW_STRING,118,
1882_BEFORE,116,
126_SWEAT_PERSPIRE,116,
251_SHARPEN_SOMETHING,115,
819_STOMACH,115,
1624_EMPTY,115,
2072_singsing,115,
1719_BURY,115,
1131_WE_INCLUSIVE,114,Swadesh200
1180_DAY_BEFORE_YESTERDAY,114,
822_HOW_MANY,114,
2301_ME,114,
1539_BASKET,113,
813_DO,113,
234_PADDLE,112,
2026_treepossum,112,
1242_FEW,111,Swadesh200
1376_NOW,111,
701_SLOW,110,
2634_WE_TWO,110,
1200_HUSBAND,110,Swadesh200
2220_MOVE_QUICKLY,110,
2310_US_OBLIQUE_CASE_OF_WE,110,
1583_BRAIN,109,
2158_EARTH_WET_SUBSTANCE,108,
1531_BRANCH,108,
1179_DAY_AFTER_TOMORROW,108,
467_CRAYFISH,106,
2041_leftarm,106,
1967_firelight,105,
2091_chickentame,105,
1703_SIX,104,
2093_arrowpronged,104,
1730_CHEEK,103,
2042_rightarm,103,
480_PLATE,103,
1650_WATCH,102,
177_BETEL_PEPPER_VINE,102,
1676_ALWAYS,101,
468_G-STRING,101,
1094_FASTEN,99,
2046_APRON,98,
729_DAWN,97,
2111_YOU_TWO,96,
2371_BREADFRUIT,95,
1704_SEVEN,94,
2490_NOON,94,
2100_THATCH_OR_ROOF,93,
862_SUGAR,92,
1483_NINE,91,
1705_EIGHT,90,
147_COCONUT_TREE,89,
688_LUNG,89,
2027_groundpossum,86,
298_youpronound2s,85,
1397_DULL,85,Swadesh200
984_WORK_LABOUR,85,
1307_LANGUAGE,83,
1457_SEW,83,Swadesh200
2094_arrowhooked,83,
1086_WORK_ACTIVITY,82,
1100_COOK_SOMETHING,81,
702_CATCH,79,
841_FISHING_SPEAR,78,
124_THORN,77,
239_FLOWER,77,Swadesh200
1480_BODY,76,
1219_WORM,76,Swadesh200
1577_AND,75,Swadesh200
926_RICE,75,
1728_ROTTEN,75,Swadesh200
3040_DIFFERENT-SEX_YOUNGER_SIBLING,75,
624_LAKE,73,Swadesh200
2182_LEFT_HAND,73,Swadesh200
606_GRASS,72,Swadesh200
1710_TWENTY,71,
1462_POT,71,
1567_DOOR,67,
1440_SPIT,67,Swadesh200
949_WATER_LEECH,66,
1400_THIN_SLIM,66,Swadesh200
1434_STAB,65,Swadesh200
208_NASAL_MUCUS_SNOT,64,
502_NAIL_TOOL,64,
1325_FRIEND,63,
141_BURN_SOMETHING,63,
587_ANT,62,
244_LEFT,61,
1049_MOLAR_TOOTH,60,
1741_ABOVE,60,
1421_SUCK,59,Swadesh200
1243_WIDE,58,Swadesh200
797_TESTICLES,58,
1725_CORRECT_RIGHT,58,Swadesh200
31_PAN,57,
762_OUTSIDE,56,
1019_RIGHT,55,
1244_THICK,55,Swadesh200
1420_COUNT,55,Swadesh200
619_ANIMAL,53,Swadesh200
1267_NARROW,52,Swadesh200
1634_HUNDRED,51,
2259_FLESH,50,
458_DEAF_PERSON,50,
2309_LIVE,50,Swadesh200
112_TURTLE,49,
1102_CLIMB,49,
1836_VAGINA,49,
1261_SING,49,Swadesh200
2183_RIGHT_HAND,49,Swadesh200
1653_BLIND,48,
487_SHY,48,
1485_BELOW_OR_UNDER,46,
2497_RATTAN,46,
1383_GRANDFATHER,46,
1413_PLAY,46,Swadesh200
1468_LOOK_FOR,46,
1178_NOSTRIL,45,
2_DUST,45,Swadesh200
1843_THOUSAND,45,
1683_BUSH,44,
1363_VOICE,44,
622_ISLAND,44,
1742_siblingoppositesex,44,
1407_BREATHE,44,Swadesh200
2106_theirspronounp3p,44,
1013_FRESHWATER_EEL,43,
843_SPIDER,42,
10_FIREWOOD,42,
893_topoffoot,42,
1895_CLOTHES,41,
980_HEEL,41,
1665_BEAT,41,
195_MAT,40,
1260_DAY_24_HOURS,40,Swadesh200
1208_CAT,39,
2468_BAG,38,
2314_BROTHER-IN-LAW,38,
1306_iseethesnake,38,
2103_PAINFUL_OR_SICK,38,
1496_GRANDMOTHER,37,
2504_DIFFERENT,37,
1307_thesnakeseesme,37,
125_SWEAT_SUBSTANCE,36,
3012_BANDICOOT,36,
3260_HORNBILL,35,
12_MIDDAY,35,
2674_ORAL_CAVITY,35,
1302_twohundred,35,
1239_HOW,35,Swadesh200
1208_cuscus,34,
801_RIB,34,
640_MUD,34,
3030_LONTAR_PALM,34,
1629_EVENING,34,
945_shinbone,33,
1735_TEAR_SHRED,33,
1935_ANUS,32,
176_BLOW_WITH_MOUTH,32,
1974_CENTIPEDE,32,
1760_YOUNGER_BROTHER,32,
539_NEST,32,
580_FUR,32,
2088_yourtwoplpronounp2pdual,32,
1786_windcold,31,
1188_CHARCOAL,31,
1911_DRAW_WATER,31,
164_KANGAROO,31,
713_STEAL,31,
479_GROW,30,
2372_SAGO_PALM,30,
388_FISHNET,30,
2666_SOLE_FOOT,30,
1883_IN_FRONT_OF,30,
2085_ustwopronouno1pdual,30,
889_FLAME,29,
1763_CLUB,29,
2115_CEASE_OR_FINISH,28,
626_LAND,28,
3269_PORCH,28,
1156_OPEN,28,
321_CHEW,28,
2317_SISTER-IN-LAW,27,
1206_cockatoo,27,
2225_ironwood,27,
47_EXCRETA,27,
1129_PAINFUL,27,
491_CENTER,27,
238_PRAWNS,27,
866_WIN,27,
477_LATE,27,
1183_PALM_OF_HAND,27,
1661_houseofwoman,27,
1761_YOUNGER_SISTER,26,
2197_lowerback,26,
